NAME,state,place
"Lehigh Acres CDP, Florida",12,39925
"Melbourne city, Florida",12,43975
"Miami city, Florida",12,45000
"Miami Beach city, Florida",12,45025
"Miami Gardens city, Florida",12,45060
"Miramar city, Florida",12,45975
"North Port city, Florida",12,49675
"Ocala city, Florida",12,50750
"Orlando city, Florida",12,53000
"Palm Bay city, Florida",12,54000
"Palm Coast city, Florida",12,54200
"Pembroke Pines city, Florida",12,55775
"Plantation city, Florida",12,57425
"Pompano Beach city, Florida",12,58050
"Port Orange city, Florida",12,58575
"Port St. Lucie city, Florida",12,58715
"Riverview CDP, Florida",12,60950
"St. Petersburg city, Florida",12,63000
"Sanford city, Florida",12,63650
"Spring Hill CDP, Florida",12,68350
"Sunrise city, Florida",12,69700
"Tallahassee city, Florida",12,70600
"Tamarac city, Florida",12,70675
"Tampa city, Florida",12,71000
"Town 'n' Country CDP, Florida",12,72145
"West Palm Beach city, Florida",12,76600
"Albany city, Georgia",13,1052
"Athens-Clarke County unified government (balance), Georgia",13,3440
"Atlanta city, Georgia",13,4000
"Augusta-Richmond County consolidated government (balance), Georgia",13,4204
"Columbus city, Georgia",13,19000
"Mableton city, Georgia",13,48288
"Macon-Bibb County, Georgia",13,49008
"Sandy Springs city, Georgia",13,68516
"Savannah city, Georgia",13,69000
"South Fulton city, Georgia",13,72122
"Warner Robins city, Georgia",13,80508
"Urban Honolulu CDP, Hawaii",15,71550
"Boise City city, Idaho",16,8830
"Caldwell city, Idaho",16,12250
"Idaho Falls city, Idaho",16,39700
"Meridian city, Idaho",16,52120
"Nampa city, Idaho",16,56260
"Aurora city, Illinois",17,3012
"Bloomington city, Illinois",17,6613
"Bolingbrook village, Illinois",17,7133
"Champaign city, Illinois",17,12385
"Chicago city, Illinois",17,14000
"Cicero town, Illinois",17,14351
"Decatur city, Illinois",17,18823
"Elgin city, Illinois",17,23074
"Joliet city, Illinois",17,38570
"Naperville city, Illinois",17,51622
"Peoria city, Illinois",17,59000
"Rockford city, Illinois",17,65000
"Schaumburg village, Illinois",17,68003
"Skokie village, Illinois",17,70122
"Springfield city, Illinois",17,72000
"Waukegan city, Illinois",17,79293
"Bloomington city, Indiana",18,5860
"Carmel city, Indiana",18,10342
"Evansville city, Indiana",18,22000
"Fort Wayne city, Indiana",18,25000
"Greenwood city, Indiana",18,29898
"Hammond city, Indiana",18,31000
"Indianapolis city (balance), Indiana",18,36003
"Lafayette city, Indiana",18,40788
"Muncie city, Indiana",18,51876
"South Bend city, Indiana",18,71000
"Cedar Rapids city, Iowa",19,12000
"Davenport city, Iowa",19,19000
"Des Moines city, Iowa",19,21000
"Iowa City city, Iowa",19,38595
"Sioux City city, Iowa",19,73335
"Waterloo city, Iowa",19,82425
"Kansas City city, Kansas",20,36000
"Lawrence city, Kansas",20,38900
"Olathe city, Kansas",20,52575
"Overland Park city, Kansas",20,53775
"Topeka city, Kansas",20,71000
"Wichita city, Kansas",20,79000
"Bowling Green city, Kentucky",21,8902
"Lexington-Fayette urban county, Kentucky",21,46027
"Louisville/Jefferson County metro government (balance), Kentucky",21,48006
"Baton Rouge city, Louisiana",22,5000
"Lafayette city, Louisiana",22,40735
"Lake Charles city, Louisiana",22,41155
"Metairie CDP, Louisiana",22,50115
"New Orleans city, Louisiana",22,55000
"Shreveport city, Louisiana",22,70000
"Baltimore city, Maryland",24,4000
"Frederick city, Maryland",24,30325
"Gaithersburg city, Maryland",24,31175
"Glen Burnie CDP, Maryland",24,32650
"Rockville city, Maryland",24,67675
"Boston city, Massachusetts",25,7000
"Brockton city, Massachusetts",25,9000
"Fall River city, Massachusetts",25,23000
"Framingham city, Massachusetts",25,24960
"Lawrence city, Massachusetts",25,34550
"Lowell city, Massachusetts",25,37000
"Lynn city, Massachusetts",25,37490
"Malden city, Massachusetts",25,37875
"New Bedford city, Massachusetts",25,45000
"Quincy city, Massachusetts",25,55745
"Somerville city, Massachusetts",25,62535
"Springfield city, Massachusetts",25,67000
"Worcester city, Massachusetts",25,82000
"Dearborn city, Michigan",26,21000
"Detroit city, Michigan",26,22000
"Farmington Hills city, Michigan",26,27440
"Flint city, Michigan",26,29000
"Grand Rapids city, Michigan",26,34000
"Kalamazoo city, Michigan",26,42160
"Lansing city, Michigan",26,46000
"Livonia city, Michigan",26,49000
"Southfield city, Michigan",26,74900
"Sterling Heights city, Michigan",26,76460
"Troy city, Michigan",26,80700
"Warren city, Michigan",26,84000
"Westland city, Michigan",26,86000
"Wyoming city, Michigan",26,88940
