homeownership_rate,median_gross_rent,rent_burden_rate,vacancy_rate,poverty_rate,gini_index,median_household_income,childhood_poverty_rate,labor_force_participation_rate,youth_unemployment_rate,hs_or_higher_rate,bachelors_or_higher_rate
0.44961848702855894,1102,0.3162679236314664,0.1779348907228689,0.23493595911647103,0.5246,44951,0.007360959651035987,0.58287224027453,0.002865568372461367,0.8906207554788738,0.30802833963510884
0.5553686934023286,948,0.22112307244690138,0.10420951994669293,0.19956050187850002,0.474,54598,0.011540370029063586,0.596031649843309,0.004793028322440087,0.876436491426494,0.2759881243309838
0.5906867422682484,1207,0.22365644171779142,0.08577751657514371,0.13736388122727503,0.4692,73319,0.0051513765494555245,0.6401890732055358,0.002327315638086029,0.9195159773241478,0.4768474972672039
0.5295718226824383,1051,0.24290381319622964,0.14412782611508232,0.15224388997700758,0.5045,50156,0.008992591331005705,0.6074037184594954,0.0014539491664389177,0.9214998416217929,0.35172632245802976
0.5458380541426608,1023,0.23519108280254777,0.1332065694345773,0.19705062765791162,0.4649,57300,0.012639397189687977,0.5957090589406456,0.003222831099777549,0.900927432100098,0.3311695820773554
0.41453230697457427,976,0.3712100083668672,0.1598565465341878,0.31799979358034886,0.5485,43235,0.01697801630715244,0.5768173355847079,0.04280272466270102,0.9147948460202869,0.3878095586219501
0.6301122565864834,1474,0.1951243682489347,0.09781242765964483,0.08355142586161406,0.4504,94437,0.0038579201460447405,0.7057865936467351,0.0040489382505578255,0.9370551175395638,0.3998726503735071
0.6134811227024342,1904,0.2543979436099285,0.04421627396284646,0.11828616961709093,0.3802,86428,0.00256277727527243,0.6904629732430332,0.0,0.841637450002469,0.1938011291623459
0.6943637782982045,1574,0.3258071107478545,0.07533059998845065,0.0706547064305685,0.4272,79754,0.0,0.6143558770823654,0.0,0.934661115487041,0.3938149356738307
0.6828739430551741,1974,0.17436999880568493,0.03870274796792369,0.08786595853936176,0.409,105393,0.005411500245977284,0.7059189529142663,0.0063854206958650125,0.93049366282771,0.48530270585945107
0.7074540503744043,2181,0.1955715532286213,0.025801504569664062,0.041017461322055845,0.3856,122445,0.0012913988446919117,0.7302096602718209,0.006361573472894451,0.9716956722277846,0.4842166248551597
0.6037317094932191,1550,0.35673074216881034,0.05071251614542529,0.1360752037633829,0.4241,70600,0.0065132401273096845,0.6584300524554955,0.002579785148592488,0.8540059785216075,0.2555571957535275
0.7677122907896088,1977,0.24975135374074484,0.13758827566358947,0.07404377173246063,0.3653,105160,0.003114598635154986,0.5819587803692357,0.0,0.9510069363863748,0.4135143498104742
0.6615457884090418,1695,0.2808732864292449,0.10058952109690666,0.11136001072722289,0.4201,79145,0.004904155024146111,0.6314973224334619,0.0037569384031472058,0.9057109766793352,0.33958890862887087
0.7539826091616758,1837,0.2820498856333733,0.06029511746783169,0.07917075177924644,0.433,97296,0.0031241586361396576,0.6113746159983415,0.004860354713413757,0.9324015211100929,0.3441547664576463
0.5616225126119948,1655,0.2405823709769218,0.06957859249263507,0.13566481845051886,0.4726,79664,0.005953331258071177,0.6890277808332657,0.006275570196106064,0.8508679419715937,0.33489538926585494
0.661819654017763,2140,0.2543459284200025,0.1564256542342009,0.0773418860572438,0.5305,106058,0.0003013266628691252,0.6038685956358405,0.0008408922801417059,0.9770726129216695,0.608737460366963
0.8087221610635955,2110,0.3276075792456171,0.10081474149090078,0.10749673431675534,0.3919,89560,0.0030076146175168064,0.5964613995005579,0.013374564149550787,0.942542638357118,0.29682387747998606
