k,bic,aic,log_likelihood,converged
2,14466.30690115069,13689.532886890634,-12.340812592086568,True
3,14466.041667775287,13298.734861815425,-11.810438359080312,True
4,14723.861202777218,13166.021605117548,-11.519558004217389,True
5,14993.69154086855,13045.319151509073,-11.239055153637949,True
6,13309.021337200662,10970.116156141377,-9.14877105792164,True
7,13772.560155481155,11043.122182722063,-9.049134960179401,True
8,14074.001868375824,10954.031103916926,-8.797000550619362,True
9,14371.018274762693,10860.514718603987,-8.541599689087663,True
10,14838.429048746133,10937.39270088762,-8.445167750911118,True
