k,wcss,delta_wcss,delta2_wcss
2,4799.314560728557,,
3,4284.125937391613,-515.1886233369441,
4,3926.339318787838,-357.78661860377497,157.40200473316918
5,3622.2265988908803,-304.1127198969575,53.673898706817454
6,3395.7628690455927,-226.46372984528762,77.6489900516699
7,3224.047296892143,-171.71557215344956,54.74815769183806
8,3069.205613225056,-154.84168366708718,16.873888486362375
9,2944.677751235743,-124.5278619893129,30.313821677774285
10,2841.8628229012743,-102.81492833446873,21.712933654844164
