NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5
"Yuma city, Arizona",4,85540,3,3,0.0012396952224908381,6.383760238547883e-07,2.11825503758409e-08,0.9987596452189357,0.0,1.047767711157093e-114
"Conway city, Arkansas",5,15190,4,3,5.213016843988777e-07,8.638286017778107e-05,1.1920177441480059e-05,0.0001330991139161915,0.9997680765467805,7.656114602202346e-86
"Fayetteville city, Arkansas",5,23290,4,3,4.5231185904457616e-11,1.5068586674373257e-11,2.67163650774676e-08,6.634881775841385e-08,0.9999999068745175,4.628948488990539e-107
"Fort Smith city, Arkansas",5,24550,4,3,9.562098773243213e-09,4.590267328160792e-12,2.067750228781677e-06,0.00018840166908078943,0.9998095210140014,6.971858635316765e-117
"Jonesboro city, Arkansas",5,35710,4,5,2.4436345773578554e-11,1.03646422671191e-13,1.4029991620987034e-45,0.017657446621873085,0.9823425533535595,2.713609621696707e-14
"Little Rock city, Arkansas",5,41000,3,3,2.5140205913579038e-05,0.0012508332354263557,1.4823013771366825e-11,0.9987240265438377,0.0,4.3981391514803417e-79
"Rogers city, Arkansas",5,60410,4,2,1.855462280502525e-05,7.437128114705687e-09,2.050812417224634e-06,1.9504451495991583e-06,0.9999774366825003,3.704843676434583e-190
"Springdale city, Arkansas",5,66080,4,3,5.693965537746474e-08,2.9521736836554964e-12,7.414437641861466e-54,4.337442219857566e-05,0.9999565686351931,4.774362203712718e-61
"Alameda city, California",6,562,4,0,9.159466200157539e-08,4.1058052445642063e-26,0.4231234588670347,5.4377961656995276e-80,0.5768764495383027,3.5511993344775534e-191
"Alhambra city, California",6,884,4,0,4.256701490498854e-05,6.5475084217021225e-21,7.16467195922865e-08,1.0584208321635328e-17,0.9999573613383758,3.555800179982901e-241
"Anaheim city, California",6,2000,0,1,0.999999954861731,2.5878503809505293e-17,4.5138268562967925e-08,2.6610465115071315e-27,0.0,4.172145849183455e-46
"Antioch city, California",6,2252,0,4,0.9998336135253093,1.1571317266176697e-10,0.00016638635897667757,1.1643588412092894e-24,0.0,6.1819708571531334e-164
