k,bic,aic,log_likelihood,converged
2,14813.007665012543,14034.233630402716,-12.520687173425975,True
3,14819.175313045283,13648.86295164267,-12.001316902968332,True
4,15004.046683616503,13442.195995421103,-11.645347088996852,True
5,15215.278667560982,13261.889652572796,-11.31342983449551,True
6,15578.618028898589,13233.690687117616,-11.120910555161318,True
7,14030.26852412009,11293.802855546332,-9.178111997267102,True
8,13938.834578749902,10810.830583383355,-8.569364167514925,True
9,14676.743045943684,11157.200723784352,-8.720455880588108,True
10,14941.5167912863,11030.436142334182,-8.436520065805016,True
