cov_type,k,bic,silhouette
full,7,14030.26852412009,0.0008767833189632624
full,8,13938.834578749902,0.0138031411587228
full,9,14676.743045943684,0.012575489733178702
tied,7,14806.214111385478,0.10753570801766835
tied,8,14761.287807626592,0.0969280920240727
tied,9,14713.754641439253,0.10999258594277465
diag,7,14439.975837546595,0.03867032602832061
diag,8,14395.62251317394,0.03564887438607056
diag,9,14406.807064192559,0.02971463201985344
