k,wcss,delta_wcss,delta2_wcss
2,5006.311124599526,,
3,4464.745369360823,-541.5657552387029,
4,4093.5863356155132,-371.1590337453099,170.40672149339298
5,3770.0612049929864,-323.52513062252683,47.63390312278307
6,3544.1901955878266,-225.87100940515984,97.65412121736699
7,3352.821029478956,-191.36916610887056,34.50184329628928
8,3187.3700228287826,-165.45100665017344,25.91815945869712
9,3079.017790941819,-108.35223188696364,57.0987747632098
10,2972.13748955303,-106.88030138878912,1.4719304981745154
