NAME,state,place,cluster_gmm,cluster_kmeans,GMM_p_k0,GMM_p_k1,GMM_p_k2,GMM_p_k3,GMM_p_k4,GMM_p_k5,GMM_p_k6,GMM_p_k7
"Apple Valley town, California",6,2364,3,0,0.0,2.455754741579224e-10,0.00029201975593911856,0.9997079797799064,1.4129641224619401e-10,1.8009362694911746e-46,3.538202468661852e-53,7.728282306895336e-11
"Arden-Arcade CDP, California",6,2553,3,5,0.0,3.5426639328381584e-11,9.300457724189468e-05,0.9989445053697042,5.585427100084052e-05,1.3105910414798552e-13,0.0009064853839725302,1.503625230254649e-07
"Bakersfield city, California",6,3526,2,1,0.0,9.892643113481772e-19,0.9999995583337861,0.0,4.4166598983797834e-07,3.423733927735977e-91,5.528356305576711e-18,2.2450788798413506e-13
"Baldwin Park city, California",6,3666,3,1,0.0,1.6000663080233136e-37,0.08753407089672403,0.9124659291030465,1.3999759380863829e-30,1.0998815014643042e-185,1.2036999710180778e-30,2.3019446901635686e-13
"Bellflower city, California",6,4982,3,3,0.0,2.9713711234222505e-10,8.878749137746547e-07,0.9999991117152647,1.1261092461449702e-10,6.309826728844582e-93,2.235816703970151e-25,7.338476400081723e-14
"Berkeley city, California",6,6000,4,5,0.0,9.888237080218087e-11,2.3560916977220102e-17,0.0,0.9999999969827904,2.4206931881265564e-172,2.9183272100072696e-09,7.815720934945031e-41
"Buena Park city, California",6,8786,3,0,0.0,8.733866324329434e-13,0.001221895273919577,0.9987780951885209,9.536686418999873e-09,5.3804992771998265e-95,1.493156079486288e-34,6.943588169183508e-34
"Burbank city, California",6,8954,3,5,0.0,4.651881874922636e-07,2.9707860503031887e-06,0.999976517003246,2.0047022516122924e-05,8.707629920819344e-21,2.435227896426257e-18,2.6187043771732573e-20
"Camarillo city, California",6,10046,3,0,0.0,1.2279365701973594e-08,0.00011034520015014119,0.9998896392451074,3.275376589124934e-09,3.2707672882255054e-43,6.041953106653429e-42,1.0821803443754016e-45
"Carson city, California",6,11530,3,0,0.0,4.134647534473971e-07,0.0013850687801922233,0.9986145177434043,1.1650342640038271e-11,7.460626832381901e-171,1.657712409011809e-54,9.466214624786788e-24
"Castro Valley CDP, California",6,11964,3,6,0.0,0.01044643860094974,1.1331945081490179e-06,0.9895524282045429,1.2520406815301074e-18,0.0,4.153906602822238e-139,4.948795295807988e-71
