cluster,homeownership_rate,median_gross_rent,rent_burden_rate,vacancy_rate,poverty_rate,gini_index,median_household_income,childhood_poverty_rate,labor_force_participation_rate,youth_unemployment_rate,hs_or_higher_rate,bachelors_or_higher_rate,n_cities
0,0.6584535377731499,697.1666666666666,0.14683306756894474,0.21474256604636133,0.313657591132814,0.5245833333333333,34977.5,0.007495546136792634,0.506440507455559,0.003202927419740267,0.8839008362285933,0.38500954684101724,6
1,0.5841126938019316,2350.1666666666665,0.22813130122414538,0.050781737439772295,0.07725018247939375,0.45120277777777784,133194.19444444444,0.0018038639944729165,0.690767002406927,0.0032476496506446528,0.9332194794171278,0.5811538771517137,36
2,0.5992523650310093,1909.1010101010102,0.2795865095016311,0.04881823171079611,0.11348667669765194,0.42442727272727276,91168.28282828283,0.004022668398405937,0.6583798453399528,0.007403803585482365,0.8423835324894121,0.2960681517635876,99
3,0.5773222762224429,1705.133971291866,0.2514463499330021,0.06640581291334323,0.12341925477157796,0.4384511961722488,85459.96172248803,0.004428053299137405,0.6629770354453738,0.0,0.8854206869449954,0.3656530410962321,209
4,0.5012998745745637,1598.3918918918919,0.2582079144671754,0.08920008742988271,0.1414651919417655,0.4782594594594594,77772.18918918919,0.004489167534905433,0.6800186988681678,0.0060162141881225685,0.9200631072198531,0.45113405679213103,74
5,0.5258157531874729,1315.076923076923,0.30021035835940035,0.14989232391269777,0.21899846728993194,0.49108846153846153,58163.53846153846,0.009374712354441962,0.6096996005682892,0.0028279639602142503,0.8989204505483992,0.3500771316370131,26
6,0.4333601677306869,1417.2222222222222,0.29860947456377174,0.08164399473665035,0.21772689205349452,0.47387037037037033,60409.0,0.011589361065325375,0.6439036186990715,0.01616749043505005,0.8098975413779409,0.254213482620668,27
7,0.5545326503612958,1134.7101449275362,0.24577219227305203,0.10241216683344764,0.18759087864990864,0.47281739130434786,60276.31884057971,0.009282640968867852,0.6382658930744591,0.006668635137134188,0.8760103708339178,0.3036266463383286,69
